,url_length,mal,special_chars
1487,93,0,19
1488,200,1,19
1489,49,1,6
1490,209,0,69
1491,30,0,4
1492,125,1,21
1493,93,1,17
1494,92,1,21
1495,77,1,15
1496,65,0,11
1497,56,0,7
1498,31,0,3
1499,42,0,4
1500,44,1,9
1501,76,1,8
1502,178,0,27
1503,76,0,12
1504,38,0,4
1505,29,1,6
1506,101,0,17
1507,42,0,5
1508,52,0,7
1509,45,1,9
1510,80,0,14
1511,31,0,3
1512,39,0,5
1513,88,0,16
1514,132,1,25
1515,25,0,3
1516,31,0,5
1517,34,1,7
1518,32,0,5
1519,63,0,8
1520,78,0,16
1521,32,0,5
1522,33,0,5
1523,16,1,1
1524,46,0,6
1525,71,1,13
1526,32,0,4
1527,20,0,2
1528,89,0,17
1529,62,0,10
1530,43,0,5
1531,44,1,3
1532,24,0,4
1533,18,0,3
1534,109,1,20
1535,32,0,5
1536,32,0,6
1537,94,0,12
1538,28,0,5
1539,32,1,2
1540,33,0,3
1541,33,0,5
1542,48,0,7
1543,89,1,17
1544,89,1,16
1545,37,0,5
1546,34,0,4
1547,19,1,2
1548,45,0,5
1549,56,0,8
1550,92,0,18
1551,33,0,3
1552,60,1,11
1553,44,1,8
1554,31,0,3
1555,61,0,8
1556,83,0,10
1557,214,1,18
1558,48,1,8
1559,44,0,6
1560,76,0,11
1561,50,0,7
1562,11,1,1
1563,42,0,4
1564,20,0,2
1565,49,0,8
1566,64,1,11
1567,83,0,11
1568,44,0,7
1569,105,1,20
1570,29,0,3
1571,35,0,3
1572,18,1,1
1573,73,0,9
1574,37,0,6
1575,15,1,2
1576,73,0,10
1577,108,0,14
1578,22,0,4
1579,78,0,11
1580,73,1,14
1581,36,0,4
1582,32,0,3
1583,65,1,11
1584,37,0,7
1585,38,0,3
1586,16,0,2
1587,23,0,2
1588,52,0,6
1589,41,0,6
1590,51,0,7
1591,145,1,27
1592,155,0,18
1593,51,0,8
1594,58,1,9
1595,52,0,8
